id,weighting,tenure_type,region,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220000201,9293.220718656332,private rented,Yorkshire and the Humber,25032.68,5-9 years,126.92307692307692,NA,NA
20220000202,536.1621758387928,local authority,North West,14190,one year,88.9423076923077,NA,NA
20220000206,8073.449268309574,owner occupied,South West,12119,30+ years,NA,NA,freehold
20220000208,797.1432925021503,private rented,Yorkshire and the Humber,20994.49,two years,148.84615384615384,NA,NA
20220000209,1530.859389953373,local authority,South East,17836,one year,125,NA,NA
20220000210,3682.178326013204,owner occupied,East,26284.5,30+ years,NA,NA,freehold
20220000213,1113.4118929755407,private rented,Yorkshire and the Humber,62953.130000000005,one year,132.69230769230768,NA,NA
20220000221,1553.2873148964993,local authority,East,58236,20-29 years,125,NA,NA
20220000222,4193.407582245325,private rented,London,100000,one year,542.3076923076923,NA,NA
20220000227,524.7468344658881,private rented,East Midlands,45875,5-9 years,103.84615384615384,NA,NA
20220000228,3145.873828139972,housing association,South West,9501,5-9 years,112,NA,NA
20220000231,1907.8680938100215,owner occupied,East,21003,20-29 years,NA,NA,freehold
20220000232,3484.955806201042,owner occupied,London,65663.84,less than 1 year,NA,286.1016785847445,freehold
20220000235,1219.610534196113,owner occupied,South East,36199.8,one year,115.3846153846154,117.6923076923077,freehold
20220000243,9331.473319999268,owner occupied,South West,28214.8,one year,NA,121.15384615384616,freehold
20220000245,1962.1192345514023,housing association,East Midlands,8580,20-29 years,126.92307692307692,NA,NA
20220000247,2466.7830192276124,owner occupied,North West,37459.4164,5-9 years,NA,46.15384615384615,freehold
20220000255,2305.01082015549,owner occupied,North West,50239.8,10-19 years,NA,44.01564285919146,freehold
20220000262,1838.3842764716987,owner occupied,North West,46109.899999999994,two years,NA,77.3076923076923,freehold
20220000264,1505.523128302042,local authority,North East,26078.55,20-29 years,87.6923076923077,NA,NA
20220000265,2098.452094334082,owner occupied,North West,60873.96,5-9 years,NA,124.12207317802982,leasehold
20220000266,3315.631346923165,owner occupied,West Midlands,9209,30+ years,NA,NA,freehold
20220000269,1202.1578121496225,owner occupied,East,23715,3-4 years,NA,NA,freehold
20220000270,1154.0642039145048,owner occupied,North West,74269.0028,3-4 years,NA,NA,freehold
20220000271,4019.142749548316,owner occupied,East Midlands,10152.5,30+ years,NA,NA,freehold
20220000277,443.7416811860066,housing association,East,11173.08,one year,117,NA,NA
20220000279,3379.1093903840533,housing association,London,77875,3-4 years,137,NA,NA
20220000280,4169.449661189371,private rented,Yorkshire and the Humber,44025,one year,161.53846153846155,NA,NA
20220000285,1102.298351237025,private rented,South East,47327.8,3-4 years,265.38461538461536,NA,NA
20220000287,2394.7860189063495,private rented,South West,8918.99,less than 1 year,196.15384615384616,NA,NA
20220000289,2042.0983713641533,local authority,East,11173.08,less than 1 year,132.125555,NA,NA
20220000295,1274.702951786907,housing association,East,15326.25,10-19 years,152.30769230769232,NA,NA
20220000297,1718.826871885983,owner occupied,London,24718.75,two years,NA,265.42342454584264,leasehold
20220000299,540.1259939633037,owner occupied,North West,40359.8,5-9 years,NA,88.38461538461539,freehold
20220000302,4388.134810845211,owner occupied,West Midlands,27415,30+ years,NA,NA,freehold
20220000303,1421.2357008772317,local authority,Yorkshire and the Humber,10668,5-9 years,77,NA,NA
20220000304,1846.149490358053,owner occupied,South West,42495.45,5-9 years,NA,154.6153846153846,freehold
20220000305,3069.8752106031125,owner occupied,North East,40112.9,3-4 years,NA,NA,freehold
20220000310,549.4834472136413,owner occupied,East,90981.25,3-4 years,NA,369.2307692307692,freehold
20220000312,1395.2369841482064,private rented,North West,13000.88,3-4 years,132.69230769230768,NA,NA
