id,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220000764,60918.75,one year,415.38461538461536,NA,NA
20220000765,56958.75,5-9 years,NA,80.76923076923077,freehold
20220000767,66600,10-19 years,NA,NA,freehold
20220000768,44265,5-9 years,NA,NA,freehold
20220000775,18650,10-19 years,NA,NA,freehold
20220000777,100000,20-29 years,NA,32.30769230769231,leasehold
20220000778,15314,30+ years,127,NA,NA
20220000785,9222.75,5-9 years,125,NA,NA
20220000795,13335,one year,87,NA,NA
20220000802,11180,10-19 years,85.8755472,NA,NA
20220000803,100000,30+ years,NA,NA,freehold
20220000804,38516.349599999994,less than 1 year,NA,439.5411910479154,freehold
20220000805,30999.8,less than 1 year,219.23076923076923,NA,NA
20220000808,99047.96280000001,less than 1 year,NA,NA,freehold
20220000814,11830,two years,NA,NA,freehold
20220000817,50970.711834,30+ years,NA,NA,freehold
20220000818,20280,5-9 years,78.23076923076923,NA,NA
20220000820,61639.091584,5-9 years,NA,181.15384615384616,freehold
20220000823,6980.52,one year,80.76923076923077,NA,NA
20220000826,38955,20-29 years,126.92307692307692,NA,NA
20220000833,13060,less than 1 year,89.07692307692307,NA,NA
20220000837,40613.24,3-4 years,NA,NA,freehold
20220000857,35674.6704,two years,276.9230769230769,NA,NA
20220000859,10003.920000000002,two years,207.69230769230768,NA,NA
20220000861,36610,20-29 years,NA,23.475009524902116,freehold
20220000872,24980.9,30+ years,NA,583.9526974800749,freehold
20220000880,24700,10-19 years,115,NA,NA
20220000882,95100,20-29 years,NA,276.9230769230769,freehold
20220000885,20358.55,5-9 years,131.25,NA,NA
20220000886,9209,20-29 years,79.8076923076923,NA,NA
20220000888,67617.94,two years,NA,330.11732144393596,freehold
20220000898,14828.8,one year,250.3807457569231,NA,NA
20220000900,56306.25,20-29 years,NA,80.76923076923077,freehold
20220000902,49748.4633,less than 1 year,NA,263.5480631836948,freehold
20220000903,16929,10-19 years,NA,125.20005079947795,freehold
20220000906,9209,30+ years,NA,NA,freehold
20220000907,18200,20-29 years,NA,64.15384615384616,freehold
20220000910,25666.5,10-19 years,NA,NA,freehold
20220000912,11115,10-19 years,150.19230769230768,NA,NA
20220000914,54806.25,less than 1 year,272.3076923076923,NA,NA
20220000915,52841.04,3-4 years,152.30769230769232,NA,NA
20220000922,32875,one year,103.84615384615384,NA,NA
20220000927,16157.5,10-19 years,126.92307692307692,NA,NA
20220000935,17517.31,one year,126.92307692307692,NA,NA
20220000936,97500,3-4 years,NA,173.07692307692307,freehold
20220000937,35334.5,20-29 years,NA,NA,freehold
20220000939,36403.3928,5-9 years,100.38461538461539,NA,NA
20220000940,10082.5,30+ years,NA,NA,freehold
20220000941,9209,5-9 years,83.07692307692308,NA,NA
20220000945,9427.919999999998,two years,66.34615384615384,NA,NA
20220000947,13636.64,3-4 years,77.76923076923077,NA,NA
20220000949,30920.12,20-29 years,NA,NA,freehold
20220000959,69740,20-29 years,NA,56.53846153846154,freehold
20220000965,59309.05,3-4 years,NA,184.6153846153846,freehold
20220000966,54087.5,one year,NA,NA,freehold
20220000969,43747.65294117647,two years,414.2307692307692,NA,NA
20220000971,51641,30+ years,NA,NA,freehold
20220000975,31130,5-9 years,NA,NA,leasehold
20220000976,81175,20-29 years,NA,184.6153846153846,freehold
20220000979,67875,3-4 years,NA,218.76923076923077,freehold
20220000982,10642,20-29 years,NA,129.4357665470326,freehold
